No.,date,time,test,positive,negative,confirmed,released,deceased
1,20/1/2020,16,1,1,0,1,0,0
2,21/1/2020,16,1,1,0,1,0,0
3,22/1/2020,16,4,1,3,1,0,0
4,23/1/2020,16,22,1,21,1,0,0
5,24/1/2020,16,27,2,25,2,0,0
6,25/1/2020,16,27,2,25,2,0,0
7,26/1/2020,16,51,3,47,3,0,0
8,27/1/2020,16,61,4,56,4,0,0
9,28/1/2020,16,116,4,97,4,0,0
10,29/1/2020,16,187,4,155,4,0,0
11,30/1/2020,16,246,6,199,6,0,0
12,31/1/2020,16,312,11,245,11,0,0
13,1/2/2020,16,371,12,289,12,0,0
14,2/2/2020,16,429,15,327,15,0,0
15,3/2/2020,16,490,15,414,15,0,0
16,4/2/2020,16,607,16,462,16,0,0
17,5/2/2020,16,714,18,522,18,1,0
18,6/2/2020,16,885,23,693,23,2,0
19,7/2/2020,16,1352,24,1001,24,2,0
20,8/2/2020,16,2097,24,1134,24,2,0
21,9/2/2020,16,2598,27,1683,27,3,0
22,10/2/2020,16,3110,27,2552,27,4,0
23,11/2/2020,16,4325,28,3535,28,4,0
24,12/2/2020,16,5624,28,4811,28,7,0
25,13/2/2020,16,6511,28,5921,28,7,0
26,14/2/2020,16,7242,28,6679,28,7,0
27,15/2/2020,16,7734,28,7148,28,9,0
28,16/2/2020,16,8161,29,7647,29,9,0
29,17/2/2020,16,8718,30,7980,30,10,0
30,18/2/2020,16,9772,31,8923,31,12,0
31,19/2/2020,16,11173,51,9973,51,16,0
32,20/2/2020,16,13202,104,11238,104,16,1
33,21/2/2020,16,16400,204,13016,204,17,2
34,22/2/2020,16,21586,433,15116,433,18,2
35,23/2/2020,16,26179,602,17520,602,18,6
36,24/2/2020,16,32756,833,20292,833,24,8
37,25/2/2020,16,40304,977,25447,977,24,12
38,26/2/2020,16,53553,1261,31576,1261,24,12
39,27/2/2020,16,66652,1766,39318,1766,26,13
40,28/2/2020,16,81167,2337,48593,2337,27,13
41,29/2/2020,16,94055,3150,55723,3150,28,17
42,1/3/2020,16,98921,3736,61825,3736,30,18
43,2/3/2020,0,109591,4212,71580,4212,31,22
44,3/3/2020,0,125851,4812,85484,4812,34,28
45,4/3/2020,0,136707,5328,102965,5328,41,32
46,5/3/2020,0,146541,5766,118965,5766,88,35
47,6/3/2020,0,164740,6284,136624,6284,108,42
48,7/3/2020,0,178189,6767,151802,6767,118,44
49,8/3/2020,0,188518,7134,162008,7134,130,50
50,9/3/2020,0,196618,7382,171778,7382,166,51
51,10/3/2020,0,210144,7513,184179,7513,247,54
52,11/3/2020,0,222395,7755,196100,7755,288,60
53,12/3/2020,0,234998,7869,209402,7869,333,66
54,13/3/2020,0,248647,7979,222728,7979,510,67
55,14/3/2020,0,261335,8086,235615,8086,714,72
56,15/3/2020,0,268212,8126,243778,8126,834,75
57,16/3/2020,0,274504,8236,251297,8236,1137,75
58,17/3/2020,0,286716,8320,261105,8320,1401,81
59,18/3/2020,0,295647,8413,270888,8413,1540,84
60,19/3/2020,0,307024,8565,282555,8565,1947,91
61,20/3/2020,0,316664,8652,292487,8652,2233,94
62,21/3/2020,0,327509,8799,303006,8799,2612,102
63,22/3/2020,0,331780,8897,308343,8897,2909,104
64,23/3/2020,0,338036,8961,315447,8961,3166,111
65,24/3/2020,0,348582,9037,324105,9037,3507,120
66,25/3/2020,0,357896,9137,334481,9137,3730,126
67,26/3/2020,0,364942,9241,341332,9241,4144,131
68,27/3/2020,0,376961,9332,352410,9332,4528,139
69,28/3/2020,0,387925,9478,361883,9478,4811,144
70,29/3/2020,0,394141,9583,369530,9583,5033,152
71,30/3/2020,0,395194,9661,372002,9661,5228,158
72,31/3/2020,0,410564,9786,383886,9786,5408,162
73,1/4/2020,0,421547,9887,395075,9887,5567,165
74,2/4/2020,0,431743,9976,403882,9976,5828,169
75,3/4/2020,0,443273,10062,414303,10062,6021,174
76,4/4/2020,0,455032,10156,424732,10156,6325,177
77,5/4/2020,0,461233,10237,431425,10237,6463,183
78,6/4/2020,0,466804,10284,437225,10284,6598,186
79,7/4/2020,0,477304,10331,446323,10331,6694,192
80,8/4/2020,0,486003,10384,457761,10384,6776,200
81,9/4/2020,0,494711,10423,468779,10423,6973,204
82,10/4/2020,0,503051,10450,477303,10450,7117,208
83,11/4/2020,0,510479,10480,485929,10480,7243,211
84,12/4/2020,0,514621,10512,490321,10512,7368,214
85,13/4/2020,0,518743,10537,494815,10537,7447,217
86,14/4/2020,0,527438,10564,502223,10564,7534,222
87,15/4/2020,0,534552,10591,508935,10591,7616,225
88,16/4/2020,0,538775,10613,513894,10613,7757,229
89,17/4/2020,0,546463,10635,521642,10635,7829,230
90,18/4/2020,0,554834,10653,530631,10653,7937,232
91,19/4/2020,0,559109,10661,536205,10661,8042,234
92,20/4/2020,0,563035,10674,540380,10674,8114,236
93,21/4/2020,0,571014,10683,547610,10683,8213,237
94,22/4/2020,0,577959,10694,555144,10694,8277,238
95,23/4/2020,0,583971,10702,563130,10702,8411,240
96,24/4/2020,0,589520,10708,569212,10708,8501,240
97,25/4/2020,0,595161,10718,575184,10718,8635,240
98,26/4/2020,0,598285,10728,578558,10728,8717,242
99,27/4/2020,0,601660,10738,582027,10738,8764,243
100,28/4/2020,0,608514,10752,588559,10752,8854,244
101,29/4/2020,0,614197,10761,595129,10761,8922,246
102,30/4/2020,0,619881,10765,600482,10765,9059,247
103,1/5/2020,0,623069,10774,603610,10774,9072,248
104,2/5/2020,0,627562,10780,608286,10780,9123,250
105,3/5/2020,0,630973,10793,611592,10793,9183,250
106,4/5/2020,0,633921,10801,614944,10801,9217,252
107,5/5/2020,0,640237,10804,620575,10804,9283,254
108,6/5/2020,0,643095,10806,624280,10806,9333,255
109,7/5/2020,0,649388,10810,630149,10810,9419,256
110,8/5/2020,0,654863,10822,635174,10822,9484,256
111,9/5/2020,0,660030,10840,640037,10840,9568,256
112,10/5/2020,0,663886,10874,642884,10874,9610,256
113,11/5/2020,0,668492,10909,646661,10909,9632,256
114,12/5/2020,0,680890,10936,653624,10936,9670,258
115,13/5/2020,0,695920,10962,665379,10962,9695,259
116,14/5/2020,0,711484,10991,679771,10991,9762,260
117,15/5/2020,0,726747,11018,695854,11018,9821,260
118,16/5/2020,0,740645,11037,711265,11037,9851,262
119,17/5/2020,0,747653,11050,718943,11050,9888,262
120,18/5/2020,0,753211,11065,726053,11065,9904,263
121,19/5/2020,0,765574,11078,737571,11078,9938,263
122,20/5/2020,0,776433,11110,748972,11110,10066,263
123,21/5/2020,0,788684,11122,759473,11122,10135,264
124,22/5/2020,0,802418,11142,770990,11142,10162,264
125,23/5/2020,0,814420,11165,781686,11165,10194,266
126,24/5/2020,0,820289,11190,788766,11190,10213,266
127,25/5/2020,0,826437,11206,796142,11206,10226,267
128,26/5/2020,0,839475,11225,806206,11225,10275,269
129,27/5/2020,0,852876,11265,820550,11265,10295,269
130,28/5/2020,0,868666,11344,834952,11344,10340,269
